Sentence,Label
"We don’t sell your personal data to advertisers, and we don’t share information that directly identifies you (such as your name, email address or other contact information) ",0
We don’t share information that directly identifies you (information such as your name or email address that by itself can be used to contact you or identifies who you are) unless you give us specific permission.,0
"When you share information like your phone number or email address with a business, they might add it to a customer list that can be matched to your Facebook profile.",1
You may have shared your information with these businesses by signing up for an email newsletter,1
"the data that an app can request without app review to include only name, Instagram username and bio, profile photo and email address",1
"You are not allowed to use Gmail to send email in violation of the CAN-SPAM Act or other anti-spam laws; to send unauthorized email via open, third-party servers; or to distribute the email addresses of any person without their consent.",0
"We also collect the content you create, upload, or receive from others when using our services. This includes things like email you write and receive, photos and videos you save, docs and spreadsheets you create, and comments you make on YouTube videos.",1
"We use information we collect, like your email address, to interact with you directly.",0
"We may collect data, including personal information, about you as you use our websites and Solutions and interact with us. ""Personal information"" is any information that can be used to identify an individual, and may include name, address, email address, phone number, login information",1
"If you choose to provide Cisco with a third party's personal information (such as name, email, and phone number), you represent that you have the third party's permission to do so.",1
"If you use and interact with our websites or emails, we automatically collect information about your device and your usage of our websites or emails through cookies",1
"In particular, we collect Personal Data from the following sources: Third party providers of business contact information, including mailing addresses, job titles, email addresses, phone numbers, intent data (or user behavior data), IP addresses, social media profiles, LinkedIn URLs and custom profiles, for purposes of targeted advertising, delivering relevant email content",1
"Third party providers of business contact information, including mailing addresses, job titles, email addresses, phone numbers, intent data (or user behavior data), IP addresses, social media profiles, LinkedIn URLs and custom profiles, for purposes of targeted advertising, delivering relevant email content",
" In addition, the User understands and agrees that ICICI Bank is required to share their personal information, such as name, email address and payment instrument details, with third parties for the purposes of processing transactions or for the use of the services to register their complaints.",1